sample_id,golden_id,customer_tweet_id,customer_text_clean,agent_action,action_reason_codes,draft_reply,retrieved_evidence_snippets,human_relevance,human_historical_grounding,human_safety_and_privacy,human_clear_next_step,human_routing_appropriateness,human_overall_accept,human_reason_codes,human_reviewer_notes,human_review_status
agreement_11,golden_077,1270367,"- your latest update 👎 screws up music that’s downloaded on my iPhone. Continually repeats same song, won’t shuffle. #WTF",escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_12,golden_033,1866466,"WHY DOES MY PHONE DIE ON 80%!? My battery literally lasts 30 minutes. Pre-ios11, never had problems. [USER] I’m done w/ all your products.",escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_13,golden_165,2502095,Hey [USER] [USER] -any idea why my month old #iPhone8 takes worse pics than the iPhone8 [USER] display phone? Same phone. Exact same camera settings. Cleaned both lenses before photo. Would appreciate RTs bc this is NOT ok. Misleading that display & real are different! [URL],escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_14,golden_182,991153,"drove 1.5h to YYC, wait 3h 4 new battery MacBookP [USER] now compu no work, thx?",escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_15,golden_175,1625438,", I bought a case from the [USER] store on 10/14, and it broke yesterday. So disappointed. Can I return it to the Apple store?",escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_16,golden_069,2350829,"Okay [USER] now my “I” is fixed, why is my App Store not working?????",escalate,uncertain_intent,"We understand you are experiencing trouble with an app or Apple service. We suggest checking Apple’s official System Status page and ensuring your apps are up to date. For direct account or service assistance, please reach out through an official secure support channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_17,golden_168,1522688,Any way I can check the overall health of my iphone7 battery?,escalate,uncertain_intent,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_18,golden_125,628025,Hey [USER] cool software update. Let me know when I️ can start sentences with “I️” again and not have it chance to hieroglyphics.,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_19,golden_044,1633089,I’m not bout to do this shit [USER] you suggested I️ download iOS 11.1 and I️ did give me my mf “I️” back 😡,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_20,golden_119,2025310,"iphone 6 Ear speaker is not working now plz guide me on this,my phone is out of warranty now.What will be the price of same",escalate,high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are inquiring about service, repair, or an order. Please visit Apple’s official support and service portal to explore available service options and appointment scheduling. Support agents cannot determine warranty eligibility or promise replacements over public social channels.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_21,golden_023,1329973,"How do i cancel my free 3 month subscription to itunes.I've downloaded songs,that i will pay for could you cancel it please.",escalate,high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,"For questions regarding billing, purchases, or subscriptions, please review your purchase history through Apple’s official secure support options. Never post payment details or account credentials publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_22,golden_108,1914004,"Went to bed with my iPhone on/charging, woke up to it off/dead and now it won't turn on after 6 hours of charging WTF APPLE?? [USER]",escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_23,golden_012,1097772,It says “downloading” then it goes back to the cloud.,escalate,other_or_unclear | uncertain_intent,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_24,golden_017,298495,I uogrades my 6s + to ios11.0.2 and it is killing the battery. Jumped from 41% to 18% in 7 mins whilst browsing.,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_25,golden_170,1887587,I think there’s something wrong with my battery. Currently gets too hot doing normal tasks. iPhone 6s Plus,escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_26,golden_092,2751146,Hi Does apple offers global warrenty on iPhone X? I mean if a phone X is purchased from USA and I use in India and some thing goes wrong in India will have have warranty cove in India?,escalate,high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are inquiring about service, repair, or an order. Please visit Apple’s official support and service portal to explore available service options and appointment scheduling. Support agents cannot determine warranty eligibility or promise replacements over public social channels.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_27,golden_137,1895456,"Ever since I updated my phone, it gets SO HOT so fast 😳🔥 [USER] [USER]",escalate,insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_28,golden_126,1698313,I know what you are doing & it’s not going to make me update my phone just so I️ have to get the new one #screwyou,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_29,golden_086,1261355,"why is apple music telling me to subscribe, but then says that I’m already a member when I do so? Can’t play music at all",escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing trouble with an app or Apple service. We suggest checking Apple’s official System Status page and ensuring your apps are up to date. For direct account or service assistance, please reach out through an official secure support channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_30,golden_144,143514,"baby, my battery will literally go from 100 to 50 in 10 minutes. it's the software not my iphone (6s)",escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_31,golden_171,857097,my iphone 7 is not charging more then 10% 😳,auto_handle,eligible_low_risk_case,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_32,golden_104,884981,"hello, am I able to hand in another iPhone and pay money on top for a new model?",escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_33,golden_083,541185,"I have the exact same problem. Tried deleting most of my apps. Still restarting/crashing and presents the lock screen. My phone get's warmer than usual. Started yesterday, 1 Dec.[USER] [USER]",escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_34,golden_018,2050566,I didn’t change my payment information so I can’t understand what is the problem! I pay my €0.99 subscription for years now. [URL],escalate,high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,"For questions regarding billing, purchases, or subscriptions, please review your purchase history through Apple’s official secure support options. Never post payment details or account credentials publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_35,golden_091,1436704,Hey [USER] my iPhone 7plus (iOS 11.0.3) keeps freezing at random moments. Is there any solution to that problem?,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_36,golden_149,2072245,When listening to music on my [USER] phone why does it stop when I go into [USER] 🤔,escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_37,golden_056,1988539,I signed out of my iCloud and lost so many pics when I signed back in..... [USER] help plz,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing trouble with an app or Apple service. We suggest checking Apple’s official System Status page and ensuring your apps are up to date. For direct account or service assistance, please reach out through an official secure support channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_38,golden_087,1813758,It’s ok already scheduled Genius Bar appointment for tomorrow (UK),escalate,high_risk_intent,"We understand you are inquiring about service, repair, or an order. Please visit Apple’s official support and service portal to explore available service options and appointment scheduling. Support agents cannot determine warranty eligibility or promise replacements over public social channels. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_39,golden_131,174117,Is the one-day shopping event only for the Apple Store online or it’s also for retail stores?,escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_40,golden_154,2284088,My phone has been updated. The “I️” problem is still occuring. [USER] fix this.,escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
