golden_id,customer_tweet_id,customer_text_clean,true_intent,predicted_intent,true_action,agent_action,failure_type
golden_025,2132069,In less than 2 hours a decrease of battery by 73%??? WTF? 11.1 iPhone 6s. Seriously?? #iphone #iOS11 #fail [URL],software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_026,1966899,"Somehow my iPhone has used 87% of battery in 25 minutes, I was only on Spotify, anyone else have these issues? @AppleSupport #appleisshit",device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_027,2894716,No just whilst using Apple Music,apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_028,543659,suddenly a black screen with a spinning wheel comes up. why is this happening & how to fix it? pls help 😞 @115858 @AppleSupport,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_031,1338927,#appleupdate anyone’s iTunes screwed up by version 3? ‘For You’ and ‘Browse’ just says ‘try again’... nothing? 😡😡😡 @6623 @115858,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_032,1392454,"How about you fix my 6 Plus? Ever since I downloaded IOS 11, and then the updates, it’s been going crazy. So close to over it.",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_033,1866466,"WHY DOES MY PHONE DIE ON 80%!? My battery literally lasts 30 minutes. Pre-ios11, never had problems. @115858 I’m done w/ all your products.",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_034,2974473,Wtf is this apple stop this fucking shit.Stop asking me to sign into a iCloud account that I don't even use anymore and why the heck should I even do it.It pops up every 10 seconds and ruined my days @AppleSupport How do I fix it? [URL],apps_services_or_icloud,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_036,848434,Please fix the Wifi issue. When I want to turn off wifi from control center I really want to turn it off!!,connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_040,1877182,"Too many UI bugs in ios11. Camera app, music app, homescreen!!",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_041,407562,"hey my wife has issue in that when she receives an iMessage from me, the notification comes up as my number rather than name",apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_042,2688139,My phone has like a 2 - 3 second delay between input and response to the input Idk what’s happening When I type then my phone freezes and then unfreezes and typing happens super fast Help aaaaaa @AppleSupport,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_043,2833002,"need to get their damn shit together, just bought the 2017 MacBook Pro and the damn charger is playing up.",device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_044,1633089,I’m not bout to do this shit @115858 you suggested I️ download iOS 11.1 and I️ did give me my mf “I️” back 😡,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_047,1918885,the 11.0.3 update is garbage. New one this morning was my alarm going off but making no sound.,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_048,851759,"iOS 11.0.3= disaster! Safari, Apps, streaming apps all lag and freeze, battery life👎 went from 10 to 11.3 on 6plus- FAIL!!!!!!",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_049,1864418,Hey @AppleSupport ... ever since I updated my phone it now shuts off every two minutes and restarts and the battery doesn’t charge.. HELP,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_050,2205975,do you like to give software updates for iPhones that disables the phone and u lose all your precious photos/videos?! FUMING. SORT IT OUT! You are one of the biggest brands in the world and you screw people's treasured memories up. I expect a response urgently.,software_update_or_os_issue,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_051,2292780,next time could you maybe fix the bug where it stops connecting peoples WiFi because that seems to be the main issue here xo [URL],connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_052,2306974,"hello I need help with a package that I have not had any delays and cabinets dated 6,7,8,9,10 November and I need a solution and the order number is w548094498 I need the delivery please",repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_053,1895677,or ANYONE please shed some light. Do I just have to wait for an update? I can’t import from the Photos app. [URL],apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_054,523869,why ios 11.1.2 often self rebooting? It back to passcode again,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_058,2246976,"Thanks! iPhone 6s Plus - I have very little data available, but have very few apps downloaded and my camera roll currently looks like this? Can you give me some advice please. I have deleted all irrelevant data [URL]",device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_059,2003224,Trying to get Plotgraph+ through the Apple Store app for free for 2 days now. It’s disappeared after several error messages! @AppleSupport,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_060,2779378,"Me/wife/2 kids, iPhone 7: wifi/bt are off then frequently come back ON again on their own. Most often when coming out of airplane mode but see it when I wake up in AM both are suddenly on...maybe triggered by the Do Not Disturb function. I have not seen it turn OFF on its own.",connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_061,2403642,Is there any way to play an album on my iPhone in the right order? It always seems to shuffle no matter what I press. @115948 @AppleSupport,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_062,211225,and that is in spite of the fetch being set to automatic AND being on wifi at the moment.,connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_063,2014899,What’s wrong with the I on the new @115858 update?!,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_064,2607722,"Really @115858 @applesupport @20600, the HighSierra update in the music keyboard controls SUCK so much! Simple doesn’t work! It’s terrible!",software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_066,1335165,Wait up til 12 to order - enter my info and keeps saying its wrong now locked out- phones closed - how can I order a phone?,account_access_and_apple_id,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_068,1676213,This iPhone glitch with the letter “I️” is really annoying. Get it together @115858.,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_069,2350829,"Okay @AppleSupport now my “I” is fixed, why is my App Store not working?????",apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_071,962178,WILL DOWNGRADING BACK TO IOS 10 GET RID OF THE SCREEN BUG?,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_073,2488744,Why is it so hard to get in contact with @AppleSupport I just want to drop this computer off! 😡 I don’t want a sit down appointment!,repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_074,2920077,The @115858 Remote app is awful. Can’t stay connected for more than two gestures. I spend more time on this screen than anything else #AppleTVRemoteApp [URL],apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_076,235012,Icant turn off wifi since I’ve new ios its always on without my permission and i cant turn of new option with three keypads,connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_077,1270367,"- your latest update 👎 screws up music that’s downloaded on my iPhone. Continually repeats same song, won’t shuffle. #WTF",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_079,1599706,Hi! Can I save my Apple Music Playlists for offline playback on my Apple Watch S3 (without LTE) with watchOS 4.1?,apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_080,1138323,"Hi, I game WiFi available. What is the next step??",connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_081,1802428,Hey @AppleSupport my iPhone 6s runs like garbage now that I updated to the latest iOS,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_082,1808051,"my apple music has been glitching recently, sometimes when i try to add music to playlists or download new songs it won’t load [URL]",apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_083,541185,"I have the exact same problem. Tried deleting most of my apps. Still restarting/crashing and presents the lock screen. My phone get's warmer than usual. Started yesterday, 1 Dec.@AppleSupport @239560",device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_085,2212770,fix this mess with the i’s,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_086,1261355,"why is apple music telling me to subscribe, but then says that I’m already a member when I do so? Can’t play music at all",billing_subscription_or_purchase,apps_services_or_icloud,escalate,escalate,INTENT_MISMATCH
golden_088,2946987,No believing that I was on snapchat for all of 10 minutes and my battery has went from 93% to 12%!!!!! @AppleSupport SORT IT OUT!!!!!,device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_089,2281743,my phone broke for no reason? @115858 finna sue anyone and everyone that works there,device_performance_or_hardware,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_090,448381,Is anyone else having the following @115858 problems: @115948 doesn’t open/ work/ screen is black SEVERE battery drains even with most apps closed and lights on dim #applesupport #apple #applemusic #iosissues,device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_091,1436704,Hey @AppleSupport my iPhone 7plus (iOS 11.0.3) keeps freezing at random moments. Is there any solution to that problem?,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_093,1081500,Thanks & does this work if it is not connected to a wifi?,connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_094,1048063,"I can no longer access wallet by double pressing the home button with iOS 11? @AppleSupport workaround swipe up, click wallet then home.",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_095,2800582,"Thanks, I am aware of the tips—iPhone owner since 2010. I think you are missing the point;this was not previously an issue until iOS 11.1.2",other_or_unclear,software_update_or_os_issue,escalate,escalate,INTENT_MISMATCH
golden_096,1658292,whenever I️ type “I️” it replaces it for- [URL],software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_098,481845,my phone glitching when I type. I never had this problem until I updated it to this iOS 11.1.2🧐 either you fix it or you lost a customer 🙃,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_099,1851465,Phone is hardly even a year old. No 3rd party repairs done. Worked perfectly fine before iOS 11 was released.,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_101,940644,"Omg, @115858 what’s this IOS update?? Who approved this?? I’ve had this update for less than 24 hours & I wanna chuck my phone out a window",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_102,2547187,Y’all just gonna pretend that you don’t know about the glitches and freezes everybody has been experiencing ever since updating to IOS 11??,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_103,1948187,My battery life is half a day at best. Takes longer to charge and drops it’s charge really fast. So disappointed,device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_104,884981,"hello, am I able to hand in another iPhone and pay money on top for a new model?",repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_105,489600,I've lost Bluetooth,connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_106,119483,can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked,software_update_or_os_issue,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_107,2410232,asked me to install the new system update Mac OS High Sierra to improve power of battery and now my MacBook isn’t working at all😑😑,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_108,1914004,"Went to bed with my iPhone on/charging, woke up to it off/dead and now it won't turn on after 6 hours of charging WTF APPLE?? @AppleSupport",device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_109,1081489,"11.0.3 yes, I turn it off, I leave my house and then if I pass somewhere I’ve connected to the WiFi before it turns itself back on",software_update_or_os_issue,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_110,2728120,Just used my fully charged iPhone6s+ for 1 hour checking email and SOMA (social media) battery now at 10%. Thanks @115858 for ios11. I don’t want the 8/X #builtinobselcance,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_111,889181,"I sent my expensive MacBook Pro in for repair with @331101 and they gave it back covered in crap, food crumbs, smear marks and two lovely new DENTS! I hope you’re taking notice @AppleSupport because this is very upsetting! #Apple #MacbookPro #WTF 🤬 [URL]",repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_112,2478961,since doing the recent update my battery is drained so so much quicker. Your way of forcing us to upgrade phones #fraud,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_113,1983976,quick question how’s come everytime I️ type an “I️” my phones makes an A and a box with a question mark in it ?,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_114,2007269,"iPhone won’t stay powered on, iPod charging port broken, iPad is starting not to charge. @115858 sucks. #applesucks",device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_115,1398130,"It's everytime I leave my home to go out, most of my music is like that but only few(the ones I listen most don't do that)",apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_116,2488587,"Say Pandora is playing while my phone is locked, when I use the passcode to unlock my phone, Pandora will stop playing. If I have tasks running on any app when I unlock my phone, they all stop.",apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_117,1297491,Ok I have to unlock the phone double tap the home button make sure I open an app first instead of just pressing the icon on the home screen?,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_118,1995518,when is the new iOS out cause my battery life is 💩💩💩,device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_120,1559346,So @115858 you gonna let me update my watch or nah,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_121,2355072,Also when i click on a notification my music stops as well and when i use the 3D touch its stops too.,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_122,1411618,Is there a way to prevent Bluetooth auto turn on when I turn on a recognized device? It triggers multiple devices. Not cool.,connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_123,1545194,is there a way to find out if an Apple Store has the iPhone X and pick it up?,repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_124,1336329,can you please help me. It says I have an #iPhoneX reserved but it wouldn’t let me continue the order process.,repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_125,628025,Hey @115858 cool software update. Let me know when I️ can start sentences with “I️” again and not have it chance to hieroglyphics.,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_126,1698313,I know what you are doing & it’s not going to make me update my phone just so I️ have to get the new one #screwyou,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_127,2013448,i️ fucking hate @115858 rn,software_update_or_os_issue,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_128,1046593,I updated it this morning. All apps updated and phone was charged to 90% about two hours ago but now is at 61% with infrequent use.,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_129,50843,I can receive on my facetime - MacBook air. However if I try to vidcall the other person won't get my call. What can I do?,apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_130,620031,can someone please tell me why my screen just turned purple and then my phone shut down? it won't turn back on. i haven't even had this phone for 2 years #wtf,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_131,174117,Is the one-day shopping event only for the Apple Store online or it’s also for retail stores?,repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_132,949672,I have a 6. 11.03 has created a nightmare. Apps crash or won’t open. Battery drains crazy.,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_133,373387,anyone else having there music that shouldn’t be downloaded showing on there apple device and it won’t go away since 11.02,apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_134,1794981,I use my old phone as an iPod now and the charge was just @ 64% and it just dropped down to freaking 14 @115858 🙄,device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_135,992374,Phone getting hanged frequently &apps are crashing( app icons are disappearing from the screen)whatsapp icon used keep on blinking,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_136,1788624,", @AppleSupport thanks for screwing up our phones with the new iOS update . I demand a refund or a replacement .",billing_subscription_or_purchase,software_update_or_os_issue,escalate,escalate,INTENT_MISMATCH
golden_137,1895456,"Ever since I updated my phone, it gets SO HOT so fast 😳🔥 @115858 @AppleSupport",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_138,1642619,if we have family sharing on and we buy a family pack of iCloud data will all of our photos be synced together.. hoping not,apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_139,2789246,How can my phone battery go down 15% in 10 minutes while barely using it. @115858 get your shit together.,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_140,248742,My Apple ID?,other_or_unclear,account_access_and_apple_id,escalate,escalate,INTENT_MISMATCH
golden_141,1514688,WHY TF ARE THESE UGLY ASS BOXES WITH QUESTIONS MARKS IN THEM POPPING UP 😑,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_142,1234737,"i’ve tried restarting, resetting network settings, removing sim card, EVERYTHING. nothing works. this is ridiculous",connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_143,2772634,"my daughters iPhone 6s is stuck in headphone mode. I’ve turned it off and back on, it’s not in do not disturb mode... please help",device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_144,143514,"baby, my battery will literally go from 100 to 50 in 10 minutes. it's the software not my iphone (6s)",software_update_or_os_issue,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_145,2379285,my icloud fucc’d up. send help.,apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_146,720587,"having a hard time with battery life on my 8 Plus and 7 Plus running iOS 11.1, no improvement from 11.0.3...just progressively and significantly worse.",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_147,515852,"Ever since I updated to iOS 11.1.2 my phone keeps crashing every few minutes and a spinning gear shows up, what’s going on?!",software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_148,122305,"So, no change. I deleted the backup, even rebooted, backup is once again ~50GB. Is there anything we can do to analyze this further? Open a ticket? Provide debug data/logs?",apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_149,2072245,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_150,535817,Apple Music won’t let me make new playlists or download new music 😤,apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_151,2298077,check this fraud!! [URL],account_access_and_apple_id,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_153,548180,Hey @AppleSupport I’ve been trying to download a song and it keeps saying song will show up in my library. That was 24 hours ago and it’s still not there.,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_154,2284088,My phone has been updated. The “I️” problem is still occuring. @AppleSupport fix this.,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_155,2697212,Ok iOS 11.1.1,other_or_unclear,software_update_or_os_issue,escalate,auto_handle,UNSAFE_AUTO_HANDLE|INTENT_MISMATCH
golden_156,944939,"A couple of weeks, my phone freezes/ turns the screen the wrong way even when screen rotation lock is on",device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_157,1273660,thanks for the international warranty..does the international warranty applicable if we buy a iphone 7 or 7 plus now?,repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_159,433050,Does anyone know how I can print to PDF within the mail app on iPad IOS 11? @AppleSupport Thanks in advance :),apps_services_or_icloud,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_160,1395109,Thanks - when I try to click to download it the wee circle just spins and nothing happens other than that.,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_161,505090,just got this email from a suspicious email address (__email__). Please confirm it is a fraud @23080 [URL],account_access_and_apple_id,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_164,1645035,yo @115858 i can’t talk about myself with my phone glitching fix this shit,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_165,2502095,Hey @115858 @applesupport -any idea why my month old #iPhone8 takes worse pics than the iPhone8 @127271 display phone? Same phone. Exact same camera settings. Cleaned both lenses before photo. Would appreciate RTs bc this is NOT ok. Misleading that display & real are different! [URL],device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_166,2429278,Is this happening to everyone else? It’s so damn annoying. 😑 I restarted my phone 1000 times it keeps coming back. @115858 fix this. I don’t want a new phone. I love my headphone jack and Touch ID sis. [URL],apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_167,1828315,"adding data to the iPad is just painful, why doesn’t Apple Pay work?! @AppleSupport",billing_subscription_or_purchase,apps_services_or_icloud,escalate,escalate,INTENT_MISMATCH
golden_168,1522688,Any way I can check the overall health of my iphone7 battery?,device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_169,1703093,fix this fucking glitch when we type “i” into our phones,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_170,1887587,I think there’s something wrong with my battery. Currently gets too hot doing normal tasks. iPhone 6s Plus,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_172,1807855,"Well bacically when I download apps under 1.0 GB, always says that the storage is full",apps_services_or_icloud,apps_services_or_icloud,auto_handle,escalate,ACTION_MISMATCH
golden_174,846955,"Hi, yes I am. I’m noticing very fast drops in the battery % through regular use. I’ve disabled features to try and extend battery life.",device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_175,1625438,", I bought a case from the @115858 store on 10/14, and it broke yesterday. So disappointed. Can I return it to the Apple store?",repair_replacement_or_order,other_or_unclear,escalate,escalate,INTENT_MISMATCH
golden_176,2003553,👀👀👀👀👀👀 hate you fix this I️,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_178,1076399,confused how I was given a new phone and my battery life is still trash,device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_180,1898686,jist brought a mac second hand and cant even set it up? My 1st apple product and its not going well... [URL],device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_182,991153,"drove 1.5h to YYC, wait 3h 4 new battery MacBookP @43055 now compu no work, thx?",repair_replacement_or_order,device_performance_or_hardware,escalate,escalate,INTENT_MISMATCH
