customer_tweet_id,customer_text_clean,predicted_intent,predicted_confidence,best_similarity_score,lexical_similarity_band,draft_reply,draft_mode,restricted_draft,safety_flags,action,decision_status,primary_reason_code,all_reason_codes,decision_explanation,needs_human_review,has_sufficient_historical_evidence,evidence_customer_tweet_ids,evidence_brand_tweet_ids,grounding_note,human_expected_action,human_expected_reason,agent_action_correct_yes_no,unsafe_auto_handle_yes_no,review_notes,reviewer_id,review_status
446489,hii I updated my phone and now my Apple Music is not working I can’t see any of the songs I have downloaded only the purchased ones from iTunes can you pls sort this.. What am I paying for?? 🙄,billing_subscription_or_purchase,0.2971,0.2304,insufficient_lexical_evidence,"For questions regarding billing, purchases, or subscriptions, please review your purchase history through Apple’s official secure support options. Never post payment details or account credentials publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,high_risk_intent,high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Inquiry classified into high-risk domain 'billing_subscription_or_purchase'. Account recovery, billing/subscription disputes, and repair/hardware orders require human specialist authorization.",True,False,1396215; 2029077; 1886378,1396214; 2029076; 1886377,Best lexical similarity (0.2304) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
495155,"Seems like some extension I have installed it blocking the two-factor authentication screen from appearing. I was able to login to the website after opening an Incognito Window (which loads a browser window without the extensions) Like a ""Safe Mode""",account_access_and_apple_id,0.8169,0.2425,insufficient_lexical_evidence,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,escalate,offline_candidate_not_sent,restricted_safety_flag,restricted_safety_flag | high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,Message contains safety-critical or account/billing risk language (password_or_recovery). Requires secure identity verification and human specialist handling; not eligible for auto-handling.,False,False,208272; 925599; 2343858,826291; 952214; 2343855,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,NEEDS_HUMAN_REVIEW
1018314,Either my [USER] 8+ has been hacked or I’m experiencing a lot of glitches! This is horrible 😩😠,account_access_and_apple_id,0.845,0.3105,weak_lexical_evidence,"For your account security, please use Apple’s official account-recovery or support channels immediately. Do not share passwords, verification codes, or personal details publicly.",restricted_safety,True,account_compromise,escalate,offline_candidate_not_sent,restricted_safety_flag,restricted_safety_flag | high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,Message contains safety-critical or account/billing risk language (account_compromise). Requires secure identity verification and human specialist handling; not eligible for auto-handling.,False,True,236825; 1785455; 2009249,236823; 1785454; 2009248,Safety restriction triggered: account compromise terms detected. Draft enforces strict credential security and directs to official recovery channels.,,,,,,,NEEDS_HUMAN_REVIEW
1133601,It’s from my Apple Music subscription on a playlist,billing_subscription_or_purchase,0.9654,0.4366,weak_lexical_evidence,"For questions regarding billing, purchases, or subscriptions, please review your purchase history through Apple’s official secure support options. Never post payment details or account credentials publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,high_risk_intent,high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,"Inquiry classified into high-risk domain 'billing_subscription_or_purchase'. Account recovery, billing/subscription disputes, and repair/hardware orders require human specialist authorization.",False,True,2263464; 1645795; 2020625,2263466; 1645796; 2020624,Best lexical similarity (0.4366) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1394016,Battery draining faster than before after iOS 11.0.3 Update. Using iPhone 6s #Apple [USER] Can i expect a fix anytime soon?,software_update_or_os_issue,0.8601,0.684,moderate_lexical_evidence,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,auto_handle,offline_candidate_not_sent,eligible_low_risk_case,eligible_low_risk_case,"Low-risk technical inquiry (software_update_or_os_issue) with high intent confidence (0.8601 >= 0.80), strong historical retrieval (0.6840 >= 0.50), safe draft mode, and zero safety flags. Eligible for automated handling candidate.",False,True,1795316; 1864815; 1230317,1795313; 1864814; 1230316,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,NEEDS_HUMAN_REVIEW
1416852,aiiiiiiight [USER] fix dis little box shit that’s replacing my I’s,other_or_unclear,0.676,0.4164,weak_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,False,True,1648443; 1715241; 2131145,1648442; 1715240; 2131143,Best lexical similarity (0.4164) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1425157,"when are you going to sort out the recent update? Now can’t control music whilst phone locked, either onscreen or headphones.",software_update_or_os_issue,0.3835,0.3404,weak_lexical_evidence,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,uncertain_intent,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Intent prediction confidence (0.3835) is below the required 0.80 threshold or flagged for human review. Escalated to prevent misrouting.,True,True,2372278; 2295708; 105336,2372276; 2295707; 105335,Best lexical similarity (0.3404) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1443224,"my beatsx charges, detected in the beats updater on my mac, latest firmware, but doesn’t turn on. Likely due to the poor design of the neckband that weaken the power connector to the headphone. Tried to reset it. What should I do? I’m from Indonesia",other_or_unclear,0.2889,0.2512,insufficient_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,False,295393; 1911144; 1988438,295396; 1911143; 1988437,Best lexical similarity (0.2512) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1463522,why does my phone take so long to charge after I updated it?,software_update_or_os_issue,0.4271,0.7025,high_lexical_similarity,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,escalate,offline_candidate_not_sent,uncertain_intent,uncertain_intent,Intent prediction confidence (0.4271) is below the required 0.80 threshold or flagged for human review. Escalated to prevent misrouting.,True,True,1697421; 1443227; 2517094,1697419; 1443226; 2517093,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,NEEDS_HUMAN_REVIEW
1483622,"Your assoc at Park Mead in Colo are rude n nasty , but YET HAVE NO PROB UPGR m 2 800.00 phone when the 1 Ohave 650. Is problematic",other_or_unclear,0.3117,0.2176,insufficient_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,False,2120144; 2802437; 2093752,2120143; 2802439; 2093750,Best lexical similarity (0.2176) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1505224,So [USER] why is my iMessage not working,apps_services_or_icloud,0.98,0.9092,high_lexical_similarity,"We understand you are experiencing trouble with an app or Apple service. We suggest checking Apple’s official System Status page and ensuring your apps are up to date. For direct account or service assistance, please reach out through an official secure support channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,auto_handle,offline_candidate_not_sent,eligible_low_risk_case,eligible_low_risk_case,"Low-risk technical inquiry (apps_services_or_icloud) with high intent confidence (0.9800 >= 0.80), strong historical retrieval (0.9092 >= 0.50), safe draft mode, and zero safety flags. Eligible for automated handling candidate.",False,True,2110910; 437020; 2974439,2110909; 437017; 2974438,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,NEEDS_HUMAN_REVIEW
1427645,"hey, I been facing this issue since I updated from iOS 10.2 the notifications don’t show up, just a blank screen please fix [URL]",software_update_or_os_issue,0.4824,0.2283,insufficient_lexical_evidence,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,uncertain_intent,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Intent prediction confidence (0.4824) is below the required 0.80 threshold or flagged for human review. Escalated to prevent misrouting.,True,False,1642502; 1769340; 2751505,1642501; 1769338; 2751504,Best lexical similarity (0.2283) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1786622,Just bought the iPhone 8plus. My lock screen always looks like this?? I’ve restarted my phone. Help!?? [URL],other_or_unclear,0.6334,0.3194,weak_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,False,True,898635; 1707702; 2321345,898634; 1707704; 2321346,Best lexical similarity (0.3194) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1880214,Why did you guys charge me just for adding my Card Info for Apple Music ? Reply ASAP,billing_subscription_or_purchase,0.6124,0.3387,weak_lexical_evidence,"For questions regarding billing, purchases, or subscriptions, please review your purchase history through Apple’s official secure support options. Never post payment details or account credentials publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,high_risk_intent,high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Inquiry classified into high-risk domain 'billing_subscription_or_purchase'. Account recovery, billing/subscription disputes, and repair/hardware orders require human specialist authorization.",False,True,2471959; 228539; 2888371,2471958; 228538; 2888370,Best lexical similarity (0.3387) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
1920432,Forgot password for my itunes account. Spoke to Apple they said wait. Still waiting over a week later.,account_access_and_apple_id,0.8515,0.2544,insufficient_lexical_evidence,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,escalate,offline_candidate_not_sent,restricted_safety_flag,restricted_safety_flag | high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,Message contains safety-critical or account/billing risk language (password_or_recovery). Requires secure identity verification and human specialist handling; not eligible for auto-handling.,False,False,257769; 2787888; 2116232,257768; 2787887; 2116231,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,NEEDS_HUMAN_REVIEW
2042351,IOS 11 IS RUINING MY LIFE MY PHONE KEEPS FREEZING AND I CANT SEE MY NOTIFICATIONS ☹️,software_update_or_os_issue,0.8857,0.5016,moderate_lexical_evidence,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,auto_handle,offline_candidate_not_sent,eligible_low_risk_case,eligible_low_risk_case,"Low-risk technical inquiry (software_update_or_os_issue) with high intent confidence (0.8857 >= 0.80), strong historical retrieval (0.5016 >= 0.50), safe draft mode, and zero safety flags. Eligible for automated handling candidate.",False,True,2133508; 2177358; 704558,2133507; 2177357; 704557,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,NEEDS_HUMAN_REVIEW
2081972,". [USER] really guys my phone is brick now! Constant freezing. Can’t control music from the lock screen at all, pwr cycles on its own",other_or_unclear,0.3501,0.3395,weak_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,True,437393; 697539; 2353623,437392; 697538; 2353625,Best lexical similarity (0.3395) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
2476051,"Oh, no ! [USER] broke the calculator’s animations once again... now on iPhone 5S 1+2+3=23 :/",other_or_unclear,0.4588,0.3061,weak_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,True,1434362; 2024837; 1615466,1434364; 2024836; 1615464,Best lexical similarity (0.3061) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
2502043,iMessages. Have reset my phone. And am connected to WiFi,connectivity_and_network,0.9458,0.5076,moderate_lexical_evidence,"We understand you are encountering a connection issue. As a basic step, checking your local network settings or toggling Airplane Mode may help. If the connection difficulty continues, please contact Apple Support through an official secure channel. As a general initial step, restarting your device can help resolve temporary issues. For continued assistance, contact Apple Support through an official secure channel.",template_with_historical_pattern,False,none,auto_handle,offline_candidate_not_sent,eligible_low_risk_case,eligible_low_risk_case,"Low-risk technical inquiry (connectivity_and_network) with high intent confidence (0.9458 >= 0.80), strong historical retrieval (0.5076 >= 0.50), safe draft mode, and zero safety flags. Eligible for automated handling candidate.",False,True,2517157; 240338; 1037446,2517159; 240337; 1037447,Historical replies for similar training messages commonly suggested a device restart. This draft references that general step without asserting a specific fix.,,,,,,,NEEDS_HUMAN_REVIEW
2816411,"i hate [USER] ! Can’t type i, can’t log in to my own account because of the two-factor authentication, can not wait to witch to a [USER]",account_access_and_apple_id,0.9448,0.3486,weak_lexical_evidence,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,escalate,offline_candidate_not_sent,restricted_safety_flag,restricted_safety_flag | high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,Message contains safety-critical or account/billing risk language (password_or_recovery). Requires secure identity verification and human specialist handling; not eligible for auto-handling.,False,True,925599; 1470849; 1828595,952214; 1470848; 1828594,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,NEEDS_HUMAN_REVIEW
