golden_id,customer_tweet_id,customer_text_clean,ai_suggested_intent,ai_suggested_action,ai_suggested_escalation_reason,ai_suggestion_confidence,review_instruction
golden_040,1877182,"Too many UI bugs in ios11. Camera app, music app, homescreen!!",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_173,571825,Ok! I thought it was going to be available right away after updating. Thank you so much!,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_154,2284088,My phone has been updated. The “I️” problem is still occuring. @AppleSupport fix this.,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_176,2003553,👀👀👀👀👀👀 hate you fix this I️,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_062,211225,and that is in spite of the fetch being set to automatic AND being on wifi at the moment.,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_066,1335165,Wait up til 12 to order - enter my info and keeps saying its wrong now locked out- phones closed - how can I order a phone?,account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_051,2292780,next time could you maybe fix the bug where it stops connecting peoples WiFi because that seems to be the main issue here xo [URL],connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_043,2833002,"need to get their damn shit together, just bought the 2017 MacBook Pro and the damn charger is playing up.",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_130,620031,can someone please tell me why my screen just turned purple and then my phone shut down? it won't turn back on. i haven't even had this phone for 2 years #wtf,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_180,1898686,jist brought a mac second hand and cant even set it up? My 1st apple product and its not going well... [URL],other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_003,2299378,Also re-arranged that last tweet FIVE times because of the new @115858 update that’s turns “I️” INTO A FREAKING A,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_013,2358755,"Finder is the worst and stupidest app on Mac @115858 @AppleSupport crashes all the time, stupid ""show more"" button, it can't order by filter-sub filter... Damn, it's 2017, do it better for God sake!",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_134,1794981,I use my old phone as an iPod now and the charge was just @ 64% and it just dropped down to freaking 14 @115858 🙄,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_091,1436704,Hey @AppleSupport my iPhone 7plus (iOS 11.0.3) keeps freezing at random moments. Is there any solution to that problem?,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_023,1329973,"How do i cancel my free 3 month subscription to itunes.I've downloaded songs,that i will pay for could you cancel it please.",billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_042,2688139,My phone has like a 2 - 3 second delay between input and response to the input Idk what’s happening When I type then my phone freezes and then unfreezes and typing happens super fast Help aaaaaa @AppleSupport,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_033,1866466,"WHY DOES MY PHONE DIE ON 80%!? My battery literally lasts 30 minutes. Pre-ios11, never had problems. @115858 I’m done w/ all your products.",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_126,1698313,I know what you are doing & it’s not going to make me update my phone just so I️ have to get the new one #screwyou,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_197,1185832,"iOS 11 sucks. Bad battery life, dropped calls, klunky, slow, etc. I’ve loved my iPhone until now. I’m about to switch to LG. Fix it!!",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_159,433050,Does anyone know how I can print to PDF within the mail app on iPad IOS 11? @AppleSupport Thanks in advance :),software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_181,2050026,excellent job with the update. My phone is now officially compromised and unusable. #sabotaged,account_access_and_apple_id,escalate,account_security,high,Review independently; do not copy blindly into human annotation sheets.
golden_017,298495,I uogrades my 6s + to ios11.0.2 and it is killing the battery. Jumped from 41% to 18% in 7 mins whilst browsing.,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_187,2052020,There’s an icon on my mobile data with no picture called springboard. don’t know what it is and it’s using data. Please help.,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_145,2379285,my icloud fucc’d up. send help.,apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_122,1411618,Is there a way to prevent Bluetooth auto turn on when I turn on a recognized device? It triggers multiple devices. Not cool.,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_081,1802428,Hey @AppleSupport my iPhone 6s runs like garbage now that I updated to the latest iOS,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_019,1671300,unable to downgrade my iCloud service. Please help,apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_079,1599706,Hi! Can I save my Apple Music Playlists for offline playback on my Apple Watch S3 (without LTE) with watchOS 4.1?,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_049,1864418,Hey @AppleSupport ... ever since I updated my phone it now shuts off every two minutes and restarts and the battery doesn’t charge.. HELP,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_005,952591,"Not at all, I mean the phone itself is on but the screen is locked and all",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_016,2952380,"Just FYI, I’ve received 10 robocalls since yesterday, which claim my Apple account has been compromised. Caller ID reads “Apple Computer”. I’ve saved the audio recording if you want it.",account_access_and_apple_id,escalate,account_security,high,Review independently; do not copy blindly into human annotation sheets.
golden_002,1596051,guys sorry to complain but since iOS 11 upgrade - brick + LTE issues. Can you please provide another updated fix?,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_044,1633089,I’m not bout to do this shit @115858 you suggested I️ download iOS 11.1 and I️ did give me my mf “I️” back 😡,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_103,1948187,My battery life is half a day at best. Takes longer to charge and drops it’s charge really fast. So disappointed,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_165,2502095,Hey @115858 @applesupport -any idea why my month old #iPhone8 takes worse pics than the iPhone8 @127271 display phone? Same phone. Exact same camera settings. Cleaned both lenses before photo. Would appreciate RTs bc this is NOT ok. Misleading that display & real are different! [URL],device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_010,2073016,not lying but my battery is fucked up,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_156,944939,"A couple of weeks, my phone freezes/ turns the screen the wrong way even when screen rotation lock is on",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_037,145186,can i refund an album i bought 3 years ago? @118721 @115858 @AppleSupport,billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_191,2523431,"I forgot my password to my iphone and i need to reset it. The recovery told me it would take 3 days for me to reset it, but I need to reset it now. I am studying abroad and I can not be without a phon in case of an emergency. What should I do?",account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_034,2974473,Wtf is this apple stop this fucking shit.Stop asking me to sign into a iCloud account that I don't even use anymore and why the heck should I even do it.It pops up every 10 seconds and ruined my days @AppleSupport How do I fix it? [URL],account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_046,1367051,"Thanks @AppleSupport, appreciate the advice. Pleasantly surprised: WatchOS 4 seems smooth & fast even on my ""Series Zero.""",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_086,1261355,"why is apple music telling me to subscribe, but then says that I’m already a member when I do so? Can’t play music at all",apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_184,2704256,Why the fuck haven't I got an email to reset my @115858 password yet if I've been trying to do it since this morning... #whatupsamsung #goodbyeiphone 🚮,account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_128,1046593,I updated it this morning. All apps updated and phone was charged to 90% about two hours ago but now is at 61% with infrequent use.,billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_054,523869,why ios 11.1.2 often self rebooting? It back to passcode again,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_101,940644,"Omg, @115858 what’s this IOS update?? Who approved this?? I’ve had this update for less than 24 hours & I wanna chuck my phone out a window",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_094,1048063,"I can no longer access wallet by double pressing the home button with iOS 11? @AppleSupport workaround swipe up, click wallet then home.",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_155,2697212,Ok iOS 11.1.1,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_115,1398130,"It's everytime I leave my home to go out, most of my music is like that but only few(the ones I listen most don't do that)",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_119,2025310,"iphone 6 Ear speaker is not working now plz guide me on this,my phone is out of warranty now.What will be the price of same",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_065,2095621,is there anyway to check the battery health of my iPhone without going into an Apple store?,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_166,2429278,Is this happening to everyone else? It’s so damn annoying. 😑 I restarted my phone 1000 times it keeps coming back. @115858 fix this. I don’t want a new phone. I love my headphone jack and Touch ID sis. [URL],device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_025,2132069,In less than 2 hours a decrease of battery by 73%??? WTF? 11.1 iPhone 6s. Seriously?? #iphone #iOS11 #fail [URL],software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_189,2731420,why does my iPhone always restart when I’m on Pandora listening to music?,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_118,1995518,when is the new iOS out cause my battery life is 💩💩💩,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_014,1420601,So annoying! All my iCloud has gone!,apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_053,1895677,or ANYONE please shed some light. Do I just have to wait for an update? I can’t import from the Photos app. [URL],software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_162,1220500,So my dad forgot his appleID password and called for help. They quoted 4 prices then changed the pswd. Then wouldn’t tell me,account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_148,122305,"So, no change. I deleted the backup, even rebooted, backup is once again ~50GB. Is there anything we can do to analyze this further? Open a ticket? Provide debug data/logs?",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_057,2440820,y’all charged my account $16.99 for absolutely nothing. Run me my refund please 😩,billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_200,303141,Is there anyway to stop my WiFi from ALWAYS being on besides going into settings and turning it off?,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_151,2298077,check this fraud!! [URL],account_access_and_apple_id,escalate,account_security,high,Review independently; do not copy blindly into human annotation sheets.
golden_160,1395109,Thanks - when I try to click to download it the wee circle just spins and nothing happens other than that.,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_183,90591,The last upgrade really messed up my macbook. It works way too slower and spends 10%~/h charge. Is it normal?,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_186,750081,thank you! i couldn’t hear anything bc i had bluetooth turned on,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_194,2631507,can you ensure a MacBook Pro with Apple care plus that has been bought from a friend?,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_028,543659,suddenly a black screen with a spinning wheel comes up. why is this happening & how to fix it? pls help 😞 @115858 @AppleSupport,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_193,1679959,your update fucked my phone up,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_168,1522688,Any way I can check the overall health of my iphone7 battery?,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_105,489600,I've lost Bluetooth,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_198,1983819,Hey @115858 fix the fucking music app. You fucked it all up.,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_092,2751146,Hi Does apple offers global warrenty on iPhone X? I mean if a phone X is purchased from USA and I use in India and some thing goes wrong in India will have have warranty cove in India?,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_022,1785113,"new update iOS11.0.2 Have a problem with wifi connection it ignore to connect to my wifi , battery life is drain very fast",connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_136,1788624,", @AppleSupport thanks for screwing up our phones with the new iOS update . I demand a refund or a replacement .",billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_030,1712471,I want to know why my Apple ID has been locked for the past 5 months after 3 resets and multiple password changes,account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_097,2622758,I ordered iphone from the store before 13 days ago my order is still in progress why ?,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_121,2355072,Also when i click on a notification my music stops as well and when i use the 3D touch its stops too.,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_047,1918885,the 11.0.3 update is garbage. New one this morning was my alarm going off but making no sound.,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_078,498633,hi! I just downgraded from a 200gb family plan for icloud to the 50gb a month instead after one day of using the family plan. am I eligible for a refund?,billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_058,2246976,"Thanks! iPhone 6s Plus - I have very little data available, but have very few apps downloaded and my camera roll currently looks like this? Can you give me some advice please. I have deleted all irrelevant data [URL]",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_083,541185,"I have the exact same problem. Tried deleting most of my apps. Still restarting/crashing and presents the lock screen. My phone get's warmer than usual. Started yesterday, 1 Dec.@AppleSupport @239560",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_068,1676213,This iPhone glitch with the letter “I️” is really annoying. Get it together @115858.,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_099,1851465,Phone is hardly even a year old. No 3rd party repairs done. Worked perfectly fine before iOS 11 was released.,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_080,1138323,"Hi, I game WiFi available. What is the next step??",connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_135,992374,Phone getting hanged frequently &apps are crashing( app icons are disappearing from the screen)whatsapp icon used keep on blinking,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_024,1761130,"Yes. I have 4 devices. iPad, iPhone, iMac, and Macbook. I backed up and then deleted all the photos on iMac. Everything remains on others.",device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_069,2350829,"Okay @AppleSupport now my “I” is fixed, why is my App Store not working?????",apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_109,1081489,"11.0.3 yes, I turn it off, I leave my house and then if I pass somewhere I’ve connected to the WiFi before it turns itself back on",connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_153,548180,Hey @AppleSupport I’ve been trying to download a song and it keeps saying song will show up in my library. That was 24 hours ago and it’s still not there.,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_102,2547187,Y’all just gonna pretend that you don’t know about the glitches and freezes everybody has been experiencing ever since updating to IOS 11??,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_178,1076399,confused how I was given a new phone and my battery life is still trash,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_089,2281743,my phone broke for no reason? @115858 finna sue anyone and everyone that works there,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_007,172998,So it won’t work with Bluetooth? Just so that I know. I’m checking- I need a cable plugged into the charging port of the@phone and USB port in the car?,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_052,2306974,"hello I need help with a package that I have not had any delays and cabinets dated 6,7,8,9,10 November and I need a solution and the order number is w548094498 I need the delivery please",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_177,1989949,"hi apple, I have 2 Apple id's. How do I change Apple ID accounts on the Apple Watch app and will I lose connection to watch",account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_188,2110849,"have an issue with being locked out of my Apple ID, and I don't know why it's not working",account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_070,162734,"Hi, I made a transaction twice by mistake, please refund. All details at the photo [URL]",billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_015,2799471,"hey guys I keep getting this email, I believe it is a phishing email can you please advise. [URL]",account_access_and_apple_id,escalate,account_security,high,Review independently; do not copy blindly into human annotation sheets.
golden_132,949672,I have a 6. 11.03 has created a nightmare. Apps crash or won’t open. Battery drains crazy.,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_085,2212770,fix this mess with the i’s,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_182,991153,"drove 1.5h to YYC, wait 3h 4 new battery MacBookP @43055 now compu no work, thx?",device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_004,1083985,"How do I set English as the default Input Method? :) Bafflingly this seems stuck in Alphabetical order, always defaults to CN [URL]",repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_161,505090,just got this email from a suspicious email address (__email__). Please confirm it is a fraud @23080 [URL],account_access_and_apple_id,escalate,account_security,high,Review independently; do not copy blindly into human annotation sheets.
golden_036,848434,Please fix the Wifi issue. When I want to turn off wifi from control center I really want to turn it off!!,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_095,2800582,"Thanks, I am aware of the tips—iPhone owner since 2010. I think you are missing the point;this was not previously an issue until iOS 11.1.2",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_114,2007269,"iPhone won’t stay powered on, iPod charging port broken, iPad is starting not to charge. @115858 sucks. #applesucks",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_140,248742,My Apple ID?,account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_124,1336329,can you please help me. It says I have an #iPhoneX reserved but it wouldn’t let me continue the order process.,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_199,1757898,ME wish @115858 would fix the issue cause ME getting veryyyyyy angry 😡,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_093,1081500,Thanks & does this work if it is not connected to a wifi?,connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_059,2003224,Trying to get Plotgraph+ through the Apple Store app for free for 2 days now. It’s disappeared after several error messages! @AppleSupport,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_131,174117,Is the one-day shopping event only for the Apple Store online or it’s also for retail stores?,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_048,851759,"iOS 11.0.3= disaster! Safari, Apps, streaming apps all lag and freeze, battery life👎 went from 10 to 11.3 on 6plus- FAIL!!!!!!",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_167,1828315,"adding data to the iPad is just painful, why doesn’t Apple Pay work?! @AppleSupport",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_027,2894716,No just whilst using Apple Music,apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_123,1545194,is there a way to find out if an Apple Store has the iPhone X and pick it up?,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_087,1813758,It’s ok already scheduled Genius Bar appointment for tomorrow (UK),repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_164,1645035,yo @115858 i can’t talk about myself with my phone glitching fix this shit,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_021,1021001,I thought my tweet was clear. Volume buttons don’t work when the phone is locked.,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_152,1895327,My iphone is fucked up. Alarm went off at 2 am out of nowhere. Giving me notifications at odd times what the fuck @AppleSupport,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_011,1372813,my iPad won’t turn on. All it has is the red battery despite being plugged in for more than 24 hours??,device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_031,1338927,#appleupdate anyone’s iTunes screwed up by version 3? ‘For You’ and ‘Browse’ just says ‘try again’... nothing? 😡😡😡 @6623 @115858,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_172,1807855,"Well bacically when I download apps under 1.0 GB, always says that the storage is full",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_125,628025,Hey @115858 cool software update. Let me know when I️ can start sentences with “I️” again and not have it chance to hieroglyphics.,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_098,481845,my phone glitching when I type. I never had this problem until I updated it to this iOS 11.1.2🧐 either you fix it or you lost a customer 🙃,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_018,2050566,I didn’t change my payment information so I can’t understand what is the problem! I pay my €0.99 subscription for years now. [URL],billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_185,1133246,"So, the new OS11 update has bogged my iPhone 7 down so much, that I have to charge it OFTEN! @applesupport @115858",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_107,2410232,asked me to install the new system update Mac OS High Sierra to improve power of battery and now my MacBook isn’t working at all😑😑,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
