golden_id,customer_tweet_id,customer_text_clean,proposed_intent,proposed_action,proposed_escalation_reason,review_decision,final_intent,final_action,final_escalation_reason,adjudicator_id,edit_or_acceptance_reason
golden_018,2050566,I didn’t change my payment information so I can’t understand what is the problem! I pay my €0.99 subscription for years now. [URL],billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_019,1671300,unable to downgrade my iCloud service. Please help,billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_020,2061705,"Help, the battery of my iPhone is ending very fast, after the updates. Please fix this. @115858 @AppleSupport",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_021,1021001,I thought my tweet was clear. Volume buttons don’t work when the phone is locked.,device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_022,1785113,"new update iOS11.0.2 Have a problem with wifi connection it ignore to connect to my wifi , battery life is drain very fast",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_023,1329973,"How do i cancel my free 3 month subscription to itunes.I've downloaded songs,that i will pay for could you cancel it please.",billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_024,1761130,"Yes. I have 4 devices. iPad, iPhone, iMac, and Macbook. I backed up and then deleted all the photos on iMac. Everything remains on others.",apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_025,2132069,In less than 2 hours a decrease of battery by 73%??? WTF? 11.1 iPhone 6s. Seriously?? #iphone #iOS11 #fail [URL],software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_026,1966899,"Somehow my iPhone has used 87% of battery in 25 minutes, I was only on Spotify, anyone else have these issues? @AppleSupport #appleisshit",device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_027,2894716,No just whilst using Apple Music,apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_028,543659,suddenly a black screen with a spinning wheel comes up. why is this happening & how to fix it? pls help 😞 @115858 @AppleSupport,device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_029,1901751,Why do I have to have a credit card for my Apple ID when I’m a minor? I can’t even download and play games without it,account_access_and_apple_id,escalate,identity_verification,ACCEPTED,account_access_and_apple_id,escalate,identity_verification,siva_adjudicator,Accepted proposal: Apple ID account creation requirement for minor; requires parental account setup guidance (Guidelines Section 2.5).
golden_030,1712471,I want to know why my Apple ID has been locked for the past 5 months after 3 resets and multiple password changes,account_access_and_apple_id,escalate,identity_verification,ACCEPTED,account_access_and_apple_id,escalate,identity_verification,siva_adjudicator,Accepted proposal: Customer requires Apple ID credential reset or 2FA authentication assistance requiring identity verification (Guidelines Section 2.5).
golden_031,1338927,#appleupdate anyone’s iTunes screwed up by version 3? ‘For You’ and ‘Browse’ just says ‘try again’... nothing? 😡😡😡 @6623 @115858,apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_032,1392454,"How about you fix my 6 Plus? Ever since I downloaded IOS 11, and then the updates, it’s been going crazy. So close to over it.",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_033,1866466,"WHY DOES MY PHONE DIE ON 80%!? My battery literally lasts 30 minutes. Pre-ios11, never had problems. @115858 I’m done w/ all your products.",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_034,2974473,Wtf is this apple stop this fucking shit.Stop asking me to sign into a iCloud account that I don't even use anymore and why the heck should I even do it.It pops up every 10 seconds and ruined my days @AppleSupport How do I fix it? [URL],apps_services_or_icloud,escalate,legal_distress_or_abuse,ACCEPTED,apps_services_or_icloud,escalate,legal_distress_or_abuse,siva_adjudicator,Accepted proposal: App/service complaint accompanied by abusive language/profanity; requires human specialist handling (Guidelines Section 3.2).
golden_035,1919919,I've already bought the Apple Music subscription on 18th Oct. Why is it asking me to buy it again?,billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_036,848434,Please fix the Wifi issue. When I want to turn off wifi from control center I really want to turn it off!!,connectivity_and_network,auto_handle,,ACCEPTED,connectivity_and_network,auto_handle,,siva_adjudicator,Accepted proposal: Standard wireless / network connectivity symptom; safe self-service resets can be provided (Guidelines Section 2.3).
golden_037,145186,can i refund an album i bought 3 years ago? @118721 @115858 @AppleSupport,billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_038,1919925,Pathetic service. 1 day old phone giving nightmares.. Please take this stupid box back and refund my money.,billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_039,883967,"is it true that if I have 5 mo left on my #warranty and my #iphone needs to be replaced, I only get a 90 day warranty on the new one?",repair_replacement_or_order,escalate,repair_or_order_lookup,ACCEPTED,repair_replacement_or_order,escalate,repair_or_order_lookup,siva_adjudicator,"Accepted proposal: Physical repair pricing, Genius Bar booking, warranty claim, store return, or hardware order tracking requires specialist lookup (Guidelines Section 2.7)."
golden_040,1877182,"Too many UI bugs in ios11. Camera app, music app, homescreen!!",apps_services_or_icloud,auto_handle,,EDITED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Customer text states 'Too many UI bugs in ios11'; primary complaint is operating system bugs introduced by update (Guidelines Section 2.1).
golden_041,407562,"hey my wife has issue in that when she receives an iMessage from me, the notification comes up as my number rather than name",apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_042,2688139,My phone has like a 2 - 3 second delay between input and response to the input Idk what’s happening When I type then my phone freezes and then unfreezes and typing happens super fast Help aaaaaa @AppleSupport,device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_043,2833002,"need to get their damn shit together, just bought the 2017 MacBook Pro and the damn charger is playing up.",device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_044,1633089,I’m not bout to do this shit @115858 you suggested I️ download iOS 11.1 and I️ did give me my mf “I️” back 😡,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Well-documented iOS 11 keyboard autocorrect bug; safe standardized text-replacement workaround can be auto-provided (Guidelines Section 2.1).
golden_045,2292794,Could resetting your Apple ID password any more aggravating? @AppleSupport,other_or_unclear,escalate,insufficient_context,EDITED,account_access_and_apple_id,escalate,identity_verification,siva_adjudicator,Customer explicitly complains about resetting Apple ID password; authentication/credential recovery domain (Guidelines Section 2.5).
golden_046,1367051,"Thanks @AppleSupport, appreciate the advice. Pleasantly surprised: WatchOS 4 seems smooth & fast even on my ""Series Zero.""",other_or_unclear,escalate,insufficient_context,ACCEPTED,other_or_unclear,escalate,insufficient_context,siva_adjudicator,"Accepted proposal: Vague, ambiguous, or conversational message lacking actionable technical details; requires human exploratory diagnostic dialogue (Guidelines Section 2.8)."
golden_047,1918885,the 11.0.3 update is garbage. New one this morning was my alarm going off but making no sound.,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_048,851759,"iOS 11.0.3= disaster! Safari, Apps, streaming apps all lag and freeze, battery life👎 went from 10 to 11.3 on 6plus- FAIL!!!!!!",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_049,1864418,Hey @AppleSupport ... ever since I updated my phone it now shuts off every two minutes and restarts and the battery doesn’t charge.. HELP,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_050,2205975,do you like to give software updates for iPhones that disables the phone and u lose all your precious photos/videos?! FUMING. SORT IT OUT! You are one of the biggest brands in the world and you screw people's treasured memories up. I expect a response urgently.,apps_services_or_icloud,auto_handle,,EDITED,software_update_or_os_issue,escalate,legal_distress_or_abuse,siva_adjudicator,Customer is railing against software updates disabling the phone; high distress/complaint regarding OS update (Guidelines Section 2.1 & 3.2).
golden_051,2292780,next time could you maybe fix the bug where it stops connecting peoples WiFi because that seems to be the main issue here xo [URL],connectivity_and_network,auto_handle,,ACCEPTED,connectivity_and_network,auto_handle,,siva_adjudicator,Accepted proposal: Standard wireless / network connectivity symptom; safe self-service resets can be provided (Guidelines Section 2.3).
golden_052,2306974,"hello I need help with a package that I have not had any delays and cabinets dated 6,7,8,9,10 November and I need a solution and the order number is w548094498 I need the delivery please",repair_replacement_or_order,escalate,repair_or_order_lookup,ACCEPTED,repair_replacement_or_order,escalate,repair_or_order_lookup,siva_adjudicator,"Accepted proposal: Physical repair pricing, Genius Bar booking, warranty claim, store return, or hardware order tracking requires specialist lookup (Guidelines Section 2.7)."
golden_053,1895677,or ANYONE please shed some light. Do I just have to wait for an update? I can’t import from the Photos app. [URL],apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_054,523869,why ios 11.1.2 often self rebooting? It back to passcode again,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_055,1785592,"locked out of my icloud, not getting two factor aunthetication text.. a",account_access_and_apple_id,escalate,identity_verification,ACCEPTED,account_access_and_apple_id,escalate,identity_verification,siva_adjudicator,Accepted proposal: Customer requires Apple ID credential reset or 2FA authentication assistance requiring identity verification (Guidelines Section 2.5).
golden_056,1988539,I signed out of my iCloud and lost so many pics when I signed back in..... @AppleSupport help plz,apps_services_or_icloud,escalate,potential_data_loss,ACCEPTED,apps_services_or_icloud,escalate,potential_data_loss,siva_adjudicator,Accepted proposal: Customer reports missing photos or lost iCloud data; requires careful specialist data recovery guidance (Guidelines Section 3.2).
golden_057,2440820,y’all charged my account $16.99 for absolutely nothing. Run me my refund please 😩,billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_058,2246976,"Thanks! iPhone 6s Plus - I have very little data available, but have very few apps downloaded and my camera roll currently looks like this? Can you give me some advice please. I have deleted all irrelevant data [URL]",device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_059,2003224,Trying to get Plotgraph+ through the Apple Store app for free for 2 days now. It’s disappeared after several error messages! @AppleSupport,apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_060,2779378,"Me/wife/2 kids, iPhone 7: wifi/bt are off then frequently come back ON again on their own. Most often when coming out of airplane mode but see it when I wake up in AM both are suddenly on...maybe triggered by the Do Not Disturb function. I have not seen it turn OFF on its own.",connectivity_and_network,auto_handle,,ACCEPTED,connectivity_and_network,auto_handle,,siva_adjudicator,Accepted proposal: Standard wireless / network connectivity symptom; safe self-service resets can be provided (Guidelines Section 2.3).
golden_061,2403642,Is there any way to play an album on my iPhone in the right order? It always seems to shuffle no matter what I press. @115948 @AppleSupport,apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_062,211225,and that is in spite of the fetch being set to automatic AND being on wifi at the moment.,connectivity_and_network,auto_handle,,ACCEPTED,connectivity_and_network,auto_handle,,siva_adjudicator,Accepted proposal: Standard wireless / network connectivity symptom; safe self-service resets can be provided (Guidelines Section 2.3).
golden_063,2014899,What’s wrong with the I on the new @115858 update?!,other_or_unclear,escalate,insufficient_context,EDITED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Customer asks 'What's wrong with the I on the new update?!'; classic iOS 11 letter I autocorrect update glitch (Guidelines Section 2.1).
golden_064,2607722,"Really @115858 @applesupport @20600, the HighSierra update in the music keyboard controls SUCK so much! Simple doesn’t work! It’s terrible!",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_065,2095621,is there anyway to check the battery health of my iPhone without going into an Apple store?,device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_066,1335165,Wait up til 12 to order - enter my info and keeps saying its wrong now locked out- phones closed - how can I order a phone?,other_or_unclear,escalate,insufficient_context,EDITED,account_access_and_apple_id,escalate,identity_verification,siva_adjudicator,Customer states 'keeps saying its wrong now locked out'; Apple ID account lockout during ordering requires identity unlock (Guidelines Section 2.5).
golden_067,352405,"my iPhone 6s Plus battery percentage drops like crazy, anyway to check battery health?",device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_068,1676213,This iPhone glitch with the letter “I️” is really annoying. Get it together @115858.,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Well-documented iOS 11 keyboard autocorrect bug; safe standardized text-replacement workaround can be auto-provided (Guidelines Section 2.1).
golden_069,2350829,"Okay @AppleSupport now my “I” is fixed, why is my App Store not working?????",apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_070,162734,"Hi, I made a transaction twice by mistake, please refund. All details at the photo [URL]",billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_071,962178,WILL DOWNGRADING BACK TO IOS 10 GET RID OF THE SCREEN BUG?,device_performance_or_hardware,auto_handle,,EDITED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Customer asks if downgrading back to iOS 10 will fix screen bug; core problem is OS version regression (Guidelines Section 2.1).
golden_072,2913302,"you kidding me. Whats happening? root password without password? user can change the root pwd? And this is the new bug, i have tons of another sw bug what reported but apple never repair it. The hw bugs also countless and unbelivable.",account_access_and_apple_id,escalate,account_security,ACCEPTED,account_access_and_apple_id,escalate,account_security,siva_adjudicator,Accepted proposal: Account takeover or security risk; requires immediate credential protection (Guidelines Section 2.5).
golden_073,2488744,Why is it so hard to get in contact with @AppleSupport I just want to drop this computer off! 😡 I don’t want a sit down appointment!,repair_replacement_or_order,escalate,repair_or_order_lookup,ACCEPTED,repair_replacement_or_order,escalate,repair_or_order_lookup,siva_adjudicator,"Accepted proposal: Physical repair pricing, Genius Bar booking, warranty claim, store return, or hardware order tracking requires specialist lookup (Guidelines Section 2.7)."
golden_074,2920077,The @115858 Remote app is awful. Can’t stay connected for more than two gestures. I spend more time on this screen than anything else #AppleTVRemoteApp [URL],device_performance_or_hardware,auto_handle,,EDITED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Apple TV Remote app disconnects / crashes; troubleshooting Apple native app service (Guidelines Section 2.4).
golden_075,2728152,"hi, my phone was stolen so I deleted the device from my Apple ID account after changing my password. It did backup on iCloud before it went missing, how long will this backup be stored securely for? Thanks.",account_access_and_apple_id,escalate,account_security,ACCEPTED,account_access_and_apple_id,escalate,account_security,siva_adjudicator,Accepted proposal: Account takeover or security risk; requires immediate credential protection (Guidelines Section 2.5).
golden_076,235012,Icant turn off wifi since I’ve new ios its always on without my permission and i cant turn of new option with three keypads,connectivity_and_network,auto_handle,,ACCEPTED,connectivity_and_network,auto_handle,,siva_adjudicator,Accepted proposal: Standard wireless / network connectivity symptom; safe self-service resets can be provided (Guidelines Section 2.3).
golden_077,1270367,"- your latest update 👎 screws up music that’s downloaded on my iPhone. Continually repeats same song, won’t shuffle. #WTF",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_078,498633,hi! I just downgraded from a 200gb family plan for icloud to the 50gb a month instead after one day of using the family plan. am I eligible for a refund?,billing_subscription_or_purchase,escalate,financial_transaction,ACCEPTED,billing_subscription_or_purchase,escalate,financial_transaction,siva_adjudicator,"Accepted proposal: Financial transaction, refund request, subscription dispute, or payment issue requiring private ledger lookup (Guidelines Section 2.6)."
golden_079,1599706,Hi! Can I save my Apple Music Playlists for offline playback on my Apple Watch S3 (without LTE) with watchOS 4.1?,connectivity_and_network,auto_handle,,EDITED,apps_services_or_icloud,auto_handle,,siva_adjudicator,"Customer is asking about offline Apple Music Playlists on Apple Watch; 'without LTE' is auxiliary context, primary intent is music playlist sync (Guidelines Section 2.4)."
golden_080,1138323,"Hi, I game WiFi available. What is the next step??",connectivity_and_network,auto_handle,,ACCEPTED,connectivity_and_network,auto_handle,,siva_adjudicator,Accepted proposal: Standard wireless / network connectivity symptom; safe self-service resets can be provided (Guidelines Section 2.3).
golden_081,1802428,Hey @AppleSupport my iPhone 6s runs like garbage now that I updated to the latest iOS,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
golden_082,1808051,"my apple music has been glitching recently, sometimes when i try to add music to playlists or download new songs it won’t load [URL]",apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_083,541185,"I have the exact same problem. Tried deleting most of my apps. Still restarting/crashing and presents the lock screen. My phone get's warmer than usual. Started yesterday, 1 Dec.@AppleSupport @239560",device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
