customer_tweet_id,customer_text_clean,predicted_intent,predicted_confidence,needs_human_review,draft_reply,draft_mode,restricted_draft,safety_flags,evidence_customer_tweet_ids,evidence_brand_tweet_ids,best_similarity_score,lexical_similarity_band,has_sufficient_historical_evidence,grounding_note,reply_relevant_yes_no,reply_grounded_yes_no,reply_safe_yes_no,clear_next_step_yes_no,would_send_or_escalate,review_notes,reviewer_id,review_status
1396238,"Dear [USER] ever since your IOS 11 update, my screen on my iPad air2 keeps flipping even though it’s locked. It’s annoying, please fix",software_update_or_os_issue,0.9335,False,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",conservative_no_evidence,False,none,1742576; 2771810; 1956596,1742575; 2771808; 1956595,0.2407,insufficient_lexical_evidence,False,Best lexical similarity (0.2407) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
1450152,My iPhone 6 is restarting over and over again after I updated to iOS 11,software_update_or_os_issue,0.9439,False,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,549616; 521322; 2784653,549614; 521320; 2784652,0.5229,moderate_lexical_evidence,True,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,,NEEDS_HUMAN_REVIEW
1476478,What the fuck is up with these question marks [USER] WHAT THE FUCK 😡,other_or_unclear,0.7961,False,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,1784545; 1576367; 1673548,1784544; 1576366; 1673547,0.7416,high_lexical_similarity,True,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,,NEEDS_HUMAN_REVIEW
1565994,When will my text get back to normal [USER],other_or_unclear,0.6989,False,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,1376467; 2014019; 545227,1376466; 2014018; 545228,0.4721,weak_lexical_evidence,True,Best lexical similarity (0.4721) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
1606708,it’s a bug? missbehave? ios 11.1 on ipad pro… docks overlay over apps.. 😖😖 [USER] [USER] [URL],software_update_or_os_issue,0.9538,False,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,75202; 211147; 1620511,75201; 211149; 1620509,0.5099,moderate_lexical_evidence,True,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,,NEEDS_HUMAN_REVIEW
1682507,FIX THIS ‼️‼️‼️ [URL],other_or_unclear,0.9689,False,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,1733811; 1645057; 2015949,1733810; 1645056; 2015948,1.0,high_lexical_similarity,True,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,,NEEDS_HUMAN_REVIEW
1754203,Can y’all please fix this I️ shit 🙄 [USER],other_or_unclear,0.891,False,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,1704003; 1712456; 1642645,1704002; 1712455; 1642644,0.9344,high_lexical_similarity,True,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,,NEEDS_HUMAN_REVIEW
1863485,"oh damn I wasn’t actually expecting a reply. I’m on the iPhone SE running 11.0.3 I think, whichever is the latest",other_or_unclear,0.3762,True,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,1009094; 643245; 881152,1009096; 643247; 881154,0.4185,weak_lexical_evidence,True,Best lexical similarity (0.4185) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
1978353,Loved my AirPods - but after 2 weeks the left one gave up. No sign of life - even after a reset. 😣 [USER] #fail,device_performance_or_hardware,0.2279,True,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel.",conservative_no_evidence,False,none,2626433; 1407844; 10693,2626431; 1407842; 10695,0.2413,insufficient_lexical_evidence,False,Best lexical similarity (0.2413) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
2092663,"So we are in agreement [USER] is fucking useless, yes? Can’t even put a damn video in landscape in here 🙄",other_or_unclear,0.5654,True,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,2901919; 1007643; 2555305,2901920; 1007645; 2555304,0.2919,insufficient_lexical_evidence,False,Best lexical similarity (0.2919) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
2261552,fix your I️ button I’m trying to vent!,other_or_unclear,0.6544,False,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,1508058; 2149883; 1586782,1508057; 2149881; 1586781,0.4655,weak_lexical_evidence,True,Best lexical similarity (0.4655) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
2309035,please fix this “I️” shit. I’m going fucking crazy,other_or_unclear,0.9275,False,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,2015644; 1725204; 2758371,2015643; 1725203; 2758370,0.6096,moderate_lexical_evidence,True,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,,NEEDS_HUMAN_REVIEW
2356614,When your phone just decides that the SIM card is invalid and fails 😒🙄 [USER] [URL],connectivity_and_network,0.6864,False,"We understand you are encountering a connection issue. As a basic step, checking your local network settings or toggling Airplane Mode may help. If the connection difficulty continues, please contact Apple Support through an official secure channel.",conservative_no_evidence,False,none,430721; 1786859; 1643289,430722; 1786861; 1643288,0.2858,insufficient_lexical_evidence,False,Best lexical similarity (0.2858) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
2381424,I didn’t purchase. Not sure if this is a scam [URL],other_or_unclear,0.5024,True,"For payment, purchase history, or refund concerns, please use Apple’s secure support or purchase-history options. Do not share payment details or card numbers publicly.",restricted_safety,True,unauthorized_payment_or_fraud,2027578; 1306073; 2485754,2027577; 1306072; 2485753,0.5205,moderate_lexical_evidence,True,Safety restriction triggered: billing/fraud/dispute terms detected. Draft enforces payment privacy and directs to secure purchase support without asserting transaction status.,,,,,,,,NEEDS_HUMAN_REVIEW
2557273,"Paid for iCloud, only to be told that yall don't (really) support Windows after trying to restore to a new windows box and I am SOL on getting a refund after paying for a service that doesn't work. #fraud",billing_subscription_or_purchase,0.6717,False,"For payment, purchase history, or refund concerns, please use Apple’s secure support or purchase-history options. Do not share payment details or card numbers publicly.",restricted_safety,True,unauthorized_payment_or_fraud,1327440; 2689460; 1679965,1327439; 2689462; 1679967,0.2174,insufficient_lexical_evidence,False,Safety restriction triggered: billing/fraud/dispute terms detected. Draft enforces payment privacy and directs to secure purchase support without asserting transaction status.,,,,,,,,NEEDS_HUMAN_REVIEW
2794412,"My iCloud account was auto-updated to two-factor authentication. After submitting the six-digit authentication number, I’m asked for a four-digit “iCloud Security code”. No idea what this is, and clicking on “Forgot Code?” gives me an endless spinner. Thanks. [URL]",account_access_and_apple_id,0.9939,False,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,2343858; 1470849; 258935,2343855; 1470848; 258934,0.2764,insufficient_lexical_evidence,False,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,,NEEDS_HUMAN_REVIEW
2840404,"trying to rent a movie on Apple TV but it keeps looping through username, password and verification code. After inputting all 3 it goes back to asking for them again, never getting to any other screen. What to do??",account_access_and_apple_id,0.7943,False,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,553623; 1148067; 2210674,553621; 1148066; 2210676,0.2475,insufficient_lexical_evidence,False,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,,NEEDS_HUMAN_REVIEW
