pair_id,customer_tweet_id,conversation_root_or_group_id,customer_text_clean,customer_text_raw,brand_reply_clean
apple_pair_024017,855425,855426,iOS11. Apps are just dropping out or freezing. The design & operation of screen when you swipe up is really bad - hard to get into music.,@AppleSupport iOS11. Apps are just dropping out or freezing. The design &amp; operation of screen when you swipe up is really bad - hard to get into music.,We have released 11.0.3. Make sure you have a backup and then go ahead and get your iPhone updated: [URL]
apple_pair_093693,2551388,2551388,"Update for @AppleSupport #iphone 11.0.3 is crap! My phone’s data turns off, things come on automatically I set to be off etc. Sort it out!","Update for @AppleSupport #iphone 11.0.3 is crap! My phone’s data turns off, things come on automatically I set to be off etc. Sort it out!",That should not be happening. Let us know more about this in DM. [URL]
apple_pair_032427,1148847,1148848,It’s mainly Telus Optik on the go. Struggles to load and when it does it has started playing with sound and a frozen screen. Thank you,@AppleSupport It’s mainly Telus Optik on the go. Struggles to load and when it does it has started playing with sound and a frozen screen.  Thank you,Great details! We'd like to continue providing you support in Direct Message. Send us your country in the link below. Thanks [URL]
apple_pair_015323,557813,557814,When will it be available in the UK? 🇬🇧,@AppleSupport When will it be available in the UK? 🇬🇧,"Currently, we do not have a date available. Let us know if you have additional questions."
apple_pair_026600,940598,940598,Does the AirPort Extreme line of routers require an update to patch KRACK?,@AppleSupport Does the AirPort Extreme line of routers require an update to patch KRACK?,Our Airport team would love to look into that question with you. Reach out to them here: [URL]
apple_pair_056756,1762817,1762817,OKAY @115858 MY PHONE SAYS ITS CHARGING BUT MY BATTERY WENT DOWN TWO PERCENTAGES,OKAY @115858 MY PHONE SAYS ITS CHARGING BUT MY BATTERY WENT DOWN TWO PERCENTAGES,Being able to charge your iPhone is important and we'd like to help. Are you using an Apple-branded charger? Have you tried different charging methods; wall outlet and computer USB? [URL]
apple_pair_006989,282429,282429,Hi! sinds de IOS 11 updates is mijn batterij ontzettend snel leeg. Hoe kan dit? hoe kan ik dit verhelpen?,@AppleSupport Hi! sinds de IOS 11 updates is mijn batterij ontzettend snel leeg. Hoe kan dit? hoe kan ik dit verhelpen?,We offer support via Twitter in English. Contact us for help in your preferred language here: [URL]
apple_pair_050051,1647415,1647415,why does my phone change I️ to I️ everytime I️ type. I️ don’t want weird symbols!!!,@AppleSupport why does my phone change I️ to I️ everytime I️ type. I️ don’t want weird symbols!!!,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL]
apple_pair_031267,1106630,1106630,"11.0.3 battery After upgrading to 11.0.3, battery life decrease. touch id stop working properly. touch screen acts up","@applesupport 11.0.3 battery
After upgrading to 11.0.3, battery life decrease. touch id stop working properly. touch screen acts up",Thanks for contacting us. We'd be happy to take a look. Let's meet in DM. [URL]
apple_pair_000529,31893,31893,"I️ hate Chang sometimes, I️ really do. @AppleSupport, fix the mystery boxes please. [URL]","I️ hate Chang sometimes, I️ really do.

@AppleSupport, fix the mystery boxes please. https://t.co/w6FieKqMWo",We certainly want to help! Which version of iOS are you currently running? Have you updated to iOS 11.1?
apple_pair_104733,87122,87091,Ever since iOS 11 has been installed on my iPhone 6 battery drain has increased. Is Apple working to fix it ??,@AppleSupport Ever since iOS 11 has been installed on my iPhone 6 battery drain has increased. Is Apple working to fix it ??,Let's look into this together to get the most out of your iPhone's battery. Which exact iOS 11 version number is installed and have you tried any steps since this started? Please let us know in DM here: [URL]
apple_pair_093668,2549918,2549918,to update my FREE apps I have to have money on my account... why do you even need a card on file in the first place. Sketchy af @115858 🙄🙃😅😒🙄,to update my FREE apps I have to have money on my account... why do you even need a card on file in the first place. Sketchy af @115858 🙄🙃😅😒🙄,We can help. Let's try selecting 'None' as a payment method instead. For steps: [URL]
apple_pair_030715,1083982,1083979,I have an iPhone 7. Yes I set it up as a new phone,@AppleSupport I have an iPhone 7. Yes I set it up as a new phone,Which country are you currently located within? Please DM us the answer: [URL]
apple_pair_090605,2455289,2455290,I have the latest update [URL],@AppleSupport I have the latest update https://t.co/rZysbKcy1C,We see what you mean. Do you have any iMessage apps installed on your iPhone? DM us and let us know. [URL]
apple_pair_045923,1576403,1576403,@'s q tem IPADMINI da Apple. Eu fiquei um bom tempo(muito) sem carregar! E agora não carrega + Já aconteceu isso com vocês? @AppleSupport,"@'s q tem IPADMINI  da Apple. 
Eu fiquei um bom tempo(muito) sem carregar! E agora não carrega +
Já aconteceu isso com vocês? @AppleSupport","Since our Twitter support is available in English, get help at [URL] or join [URL]"
apple_pair_088196,2402184,2402184,Aye yoo @AppleSupport !! Y’all not gonna fix this ?? “ I️ “ 😑,Aye yoo @AppleSupport !! Y’all not gonna fix this ??  “ I️ “ 😑,"We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. Follow the steps here: [URL]"
apple_pair_097699,2686659,2686657,My WiFi speed should be fine for the backup...it’s not really fast WiFi but have never had a problem in the past.,@AppleSupport My WiFi speed should be fine for the backup...it’s not really fast WiFi but have never had a problem in the past.,There is one really large backup already there that may be hindering this process. Join us in DM and we can dig in on some possible approaches to getting this resolved. [URL]
apple_pair_082452,2286727,2286727,why is this taking so long. I started the update an hour ago and it's still saying 43min left [URL],@AppleSupport why is this taking so long. I started the update an hour ago and it's still saying 43min left https://t.co/2X6isID8eO,"We'll check this out with you. Is the installing bar stuck and not moving, or is it moving very slow?"
apple_pair_028661,1012359,1012359,can you reset my security questions for me?,@AppleSupport can you reset my security questions for me?,We can help. Use the link to get to our Apple ID support for help with your security questions: [URL]
apple_pair_091245,2483128,2483128,why does this keep coming up even though I have every detail right [URL],@AppleSupport why does this keep coming up even though I have every detail right https://t.co/Nr8ID5Y7gJ,Thanks for getting in touch. We'd like to assist. DM us and we'll go from there. [URL]
apple_pair_064319,1919948,1919948,why the hell would I ever want to change “it” to “I.T” can you fix this error? What the hell does “I.T” even abbreviate?,@AppleSupport why the hell would I ever want to change “it” to “I.T” can you fix this error? What the hell does “I.T” even abbreviate?,"We'd like to see if we can help. Send us a DM with the device you're experiencing this on, and we'll get started. [URL]"
apple_pair_066047,1962415,1962415,"I️ realize the irony of a genius tweeting this, but have you seen this? @AppleSupport cleared keyboard dictionary and restarted device. [URL]","I️ realize the irony of a genius tweeting this, but have you seen this? @AppleSupport cleared keyboard dictionary and restarted device. https://t.co/Ux9NFI0iiz",You're in the right place for help. Tell us a little more about what's going on in a DM and we'll continue there. [URL]
apple_pair_015931,571834,571834,had worst experience today at the Orlando store @ Millenia. Had Appt @ 4pm and waited until 5 and left without assistance. #applesupportfail,@115858 had worst experience today at the Orlando store @ Millenia. Had Appt @ 4pm and waited until 5 and left without assistance. #applesupportfail,"We want you to enjoy your visits to the Apple Store. If you still need assistance or would like to visit with us about your experience, reach out here: [URL] [URL]"
apple_pair_058414,1782731,1782731,My phone keeps on crashing and the performance has been slow after I upgraded to iOS 11. 🙄 @115858 @AppleSupport #iphone,My phone keeps on crashing and the performance has been slow after I upgraded to iOS 11. 🙄 @115858 @AppleSupport #iphone,We'd like to help make sure your phone is working at its best. Meet us in DM so we can gather more information and get started. [URL]
apple_pair_039967,1419675,1419676,🤦🏼‍♀️i know i’m not that stupid i’m just asking if is it possible to have this one-handed keyboard thing gone i don’t want to use it at all,@AppleSupport 🤦🏼‍♀️i know i’m not that stupid i’m just asking if is it possible to have this one-handed keyboard thing gone i don’t want to use it at all,Got it! This is built into the iOS. But you can submit feedback here: [URL]
apple_pair_051121,1672003,1672003,Hey @AppleSupport WTF is this? [URL],Hey @AppleSupport WTF is this? https://t.co/zE4zNV2XNm,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL]
apple_pair_001704,63195,63197,Tried 3x over last few days. Decided to try again about 6pm tonight. The update has also unpaired phone & watch. Not very helpful update!,"@AppleSupport Tried 3x over last few days. Decided to try again about 6pm tonight. 
The update has also unpaired phone &amp; watch. Not very helpful update!","Let's move to DM for a closer look. Does the update eventually fail with an error message? If so, what is the exact error? [URL]"
apple_pair_099548,2736401,2736401,My iPhone 6 is really unresponsive after the iOS 11 update. Can't even type a word without it getting stucked. Is there a way to downgrade?,@AppleSupport My iPhone 6 is really unresponsive after the iOS 11 update. Can't even type a word without it getting stucked. Is there a way to downgrade?,We want to help you with this. Do you notice this happening during certain Apps? Do you have a backup of your device?
apple_pair_020919,747772,747772,"Dear Team, My iPhone 6s Plus started misbehaving after new update. How to control him not to misbehave. #iOS10 @115858","@AppleSupport Dear Team, My iPhone 6s Plus started misbehaving after new update. How to control him not to misbehave. #iOS10 @115858","We're excited to help. Could you give us a little more detail? The more we know, the better."
apple_pair_079713,612888,612853,"Hello , I Updated It And It Still Show The Box🙄 Please Help.","@AppleSupport Hello , I Updated It And It Still Show The Box🙄 Please Help.",We appreciate you coming back with some feedback. Confirm for us in DM whether you're referring to iOS 11.1.1 See you there! [URL]
apple_pair_075004,2083320,2083320,since my iOS update @126972 closes when I share a video . Is this a known issues or it’s my device ?,@AppleSupport since my iOS update @126972 closes when I share a video . Is this a known issues or it’s my device ?,We’d love to help. Let us know in DM which device this is happening on and we'll look into this with you. [URL]
apple_pair_028214,1002228,1002228,So my iPhone is once again back in Headphone mode for absolutely no fucking reason. Thanks @115858.,So my iPhone is once again back in Headphone mode for absolutely no fucking reason. Thanks @115858.,You'll find the steps you need here: [URL]
apple_pair_060458,1833631,1833632,okay sAME lmk if you find anything,@550048 @AppleSupport okay sAME lmk if you find anything,Thanks for reaching out. We can definitely look into this with you. Which device are you using? DM us and let us know. [URL]
apple_pair_102280,2834411,2834411,Latest iOS update has fucked my iPhone yet again.. 5 resets in the last 24 hours.. @115858 your game is weak.. definitely heading over to @125607. #iPhoneForSale,Latest iOS update has fucked my iPhone yet again.. 5 resets in the last 24 hours.. @115858 your game is weak.. definitely heading over to @125607. #iPhoneForSale,"It's not expected behavior and definitely not what we want you to experience. We'd love to look into this with you and help sort it out. Please DM us to tell us all about what's going on since the update. Is it occurring with specific apps, or while using any app? [URL]"
apple_pair_041940,1474759,1474759,do you even have a design/user experience team anymore? The BT “shortcut” is just a decoration now. iOS 11 is a joke. [URL],@115858 do you even have a design/user experience team anymore? The BT “shortcut” is just a decoration now. iOS 11 is a joke. https://t.co/OArxrUiRmi,We've changed the function of that section of the Control Center. You can find out more here: [URL]
apple_pair_009935,372497,372497,Siri won't tell me Florida State's record? I believe my device may be broken or have a virus?! 😰 please advise 😨 [URL],@AppleSupport Siri won't tell me Florida State's record? I believe my device may be broken or have a virus?! 😰 please advise 😨 https://t.co/8STBBEozbG,We'd be happy to look into this. Can you DM us what version of iOS you are running? [URL]
apple_pair_064628,1925121,1925122,"Worst thing is you can’t revert to iOS 10, so I’m stuck with it. Grrr. @AppleSupport please address this.","Worst thing is you can’t revert to iOS 10, so I’m stuck with it. Grrr. @AppleSupport please address this.",We'd be happy to assist in any way that we can. DM us the issues you're currently experiencing and the iOS version. [URL]
apple_pair_004749,199322,199322,fix the battery bug on ios11 😪😪😪😪,@115858 fix the battery bug on ios11 😪😪😪😪,We are glad to help. At this point we’d like to start by asking about the changes you’ve noticed in battery.
apple_pair_068424,2001536,2001536,so all of ya made a video about the doc with the question mark but @AppleSupport won’t fix it!!!!!!! why are we having these problems?,so all of ya made a video about the doc with the question mark but @AppleSupport won’t fix it!!!!!!! why are we having these problems?,We'd like to look into this with you. Could you DM us the device model and exact version of iOS running? [URL]
apple_pair_095003,2585637,2585637,How can I officially complain with Apple about the iOS 11? It’s seriously the worst thing that has ever happpened to my iPhone... @AppleSupport,How can I officially complain with Apple about the iOS 11? It’s seriously the worst thing that has ever happpened to my iPhone... @AppleSupport,We'd be happy to provide a listening ear. Send us a DM with your concerns and we'll meet you there. [URL]
apple_pair_007141,285200,285201,"Yes its working now, yesterday i moved everything from dropbox to icloud and today it seems like disaster, im glad that was temporary","@AppleSupport Yes its working now, yesterday i moved everything from dropbox to icloud and today it seems like disaster, im glad that was temporary",We're glad to hear the issue is resolved. Feel free to reach back out to us with any questions or concerns if need be.
apple_pair_003988,168824,168824,hey having problems with my new iPhone X staying connected to the tube Wi-Fi. You aware of a big? Any work arounds?,@118101 hey having problems with my new iPhone X staying connected to the tube Wi-Fi. You aware of a big? Any work arounds?,Have you had a chance to power down and restart your device? Please DM us and we'll continue. [URL]
apple_pair_023306,829113,829114,Is it a but with ios 11?,@AppleSupport Is it a but with ios 11?,"We're here to help you. To better assist, with what application are you failing to receive your notifications?"
apple_pair_020520,736447,736447,please release some update my iphone battery is draining so fast even 1.5hrs battery back up seems impossible on 11.0.2,@115858 please release some update my iphone battery is draining so fast even 1.5hrs battery back up seems impossible on 11.0.2,We'd be happy to look into what's going on. Let's see if the information at the following link helps: [URL]
apple_pair_069839,2013799,2013802,"No, but the same email account on my iPad doesn’t do this so I’m assuming it’s localised.","@AppleSupport No, but the same email account on my iPad doesn’t do this so I’m assuming it’s localised.",Let's move to DM for a closer look. What country are you located in? [URL]
apple_pair_016660,595790,595790,I legitimately bought my new iPhone X 24 hours ago and now the display is showing this bright light purple line and the colours are glitching! I haven’t dropped it damaged it or anything! @AppleSupport [URL],I legitimately bought my new iPhone X 24 hours ago and now the display is showing this bright light purple line and the colours are glitching! I haven’t dropped it damaged it or anything! @AppleSupport https://t.co/i6su9sduJr,"Thanks for reaching out to us today. We understand your concern with this issue, and would be happy to look into the best options with you. To start, can you DM us where you're currently located, and where you purchased your iPhone from? [URL]"
apple_pair_059592,1809294,1809294,is there anyway to downgrade to iOS 10? 11 is jus way too buggy,@AppleSupport is there anyway to downgrade to iOS 10? 11 is jus way too buggy,We'd be happy to look into any issues you're having. Please send us a DM with some info and we'll get started. [URL]
apple_pair_012822,486116,486116,why does my iPhone 8 screen brightness keep changing even though True Tone is turned off? It’s annoying,@AppleSupport why does my iPhone 8 screen brightness keep changing even though True Tone is turned off? It’s annoying,"We'd like to look into this with you. Did you have an iPhone prior to setting up the iPhone 8 that experienced this issue? If so, did the iPhone 8 get restored from that iPhone's backup? Do you notice this issue happening when using a specific app or at random?"
apple_pair_098698,2709984,2709984,thanks for not helping me after 3 hours of talking ❤️,@AppleSupport thanks for not helping me after 3 hours of talking ❤️,"We're here to assist you. DM us, and let us know what's going on. We'll look into this. [URL]"
apple_pair_095784,2616640,2616640,"hey why the hell does my phone go from 22 percent to 10 in one sec, like damn it was 22 percent then one second later the damn 10% remaining warning popped up","@AppleSupport hey why the hell does my phone go from 22 percent to 10 in one sec, like damn it was 22 percent then one second later the damn 10% remaining warning popped up","We understand how vital your battery is to your device and want to help. Is this an issue that began recently? Also, how long does your battery last on a full charge? Let us know in a DM to continue. [URL]"
apple_pair_087837,2379274,2379274,"i just DM you my problem with the AppleID , waiting for your response 🤞🏼🤞🏼🤞🏼","@AppleSupport i just DM you my problem with the AppleID , waiting for your response 🤞🏼🤞🏼🤞🏼",We appreciate you reaching out to us today! We've received your DM and will continue with you there.
apple_pair_071963,2038350,2038350,why can’t I️ type in outlook anymore? When I️ type it I️ get “A ?”,@AppleSupport why can’t I️ type in outlook anymore?  When I️ type it I️ get “A ?”,Let's help look into this behavior. Please DM us the device and version of OS that you're using. [URL]
apple_pair_005708,240120,240114,This is my lock screen [URL],@AppleSupport This is my lock screen https://t.co/lfw7dYRu87,"We appreciate you keeping us updated. So that we can look into this further, use the link below to DM us. [URL]"
apple_pair_039504,1409124,1409125,y’all need to fix this 😒 when i type the letter i that shouldn’t happen 🚮,@AppleSupport y’all need to fix this 😒 when i type the letter i that shouldn’t happen 🚮,We'd like to help. Send us a DM and we can start there. [URL]
apple_pair_034519,1219987,1219986,The url bar in the Safari browser is also too big (1/5 of the screen height). Most of the space should be for the webpage content.,@AppleSupport The url bar in the Safari browser is also too big (1/5 of the screen height). Most of the space should be for the webpage content.,Got it. Thank you for letting us know. Have you tried any troubleshooting steps so far?
apple_pair_060228,1828295,1828295,"on my phone, in Safari, it doesn’t want to let me copy, paste or search into the address bar at the top. Help!","@AppleSupport on my phone, in Safari, it doesn’t want to let me copy, paste or search into the address bar at the top. Help!",Thank you for reaching out to us. We'd like to look into this with you. Please DM us the device you are using. [URL]
apple_pair_085517,2320394,2320394,My phone is doing the Apple shit where I is becoming nonsense. Fix I️t @115858 just showing they don’t care because idiots will pay them anyway,My phone is doing the Apple shit where I is becoming nonsense. Fix I️t @115858 just showing they don’t care because idiots will pay them anyway,"We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: [URL]"
apple_pair_040065,1427667,1427667,this update keeps freezing my phone!,@AppleSupport this update keeps freezing my phone!,We're happy to assist. Which iOS 11 version are you currently running? Go to Settings > General > About for the version.
apple_pair_088852,2412456,2412456,Contacts app on my MacBook is not working well to sync online and devices 😞 I turned off all the accounts and turned them back on 10 times! HELP ME PLEASE!,@AppleSupport Contacts app on my MacBook is not working well to sync online and devices 😞 I turned off all the accounts and turned them back on 10 times! HELP ME PLEASE!,We'll respond to your DM shortly. Look for us there.
apple_pair_070082,2014990,2014990,"currently running 11.1 and I️ have this glitch. When will this be fixed. Serious, after 10 generations you mess up a keyboard?","@AppleSupport currently running 11.1 and I️ have this glitch. When will this be fixed. Serious, after 10 generations you mess up a keyboard?",Thanks for reaching out. We have a workaround for this here: [URL] DM us if you still need help. [URL]
apple_pair_002497,103235,103235,Estoy muy decepcionado con la calidad de la compra online. Despues de esperar tanto tiempo para el IPhone X + AppleWatch teneis problemas con el sistema de pago. Muy muy decepcionado !!! Espero que esto no afecte a la fecha de entrega de mi pedido!!!,@115858 Estoy muy decepcionado con la calidad de la compra online. Despues de esperar tanto tiempo para el IPhone X + AppleWatch teneis problemas con el sistema de pago. Muy muy decepcionado !!! Espero que esto no afecte a la fecha de entrega de mi pedido!!!,We offer support via Twitter in English. Get help in Spanish here: [URL] or join [URL]
apple_pair_054906,1734509,1734509,Hey @115858 can you fix this thing where this “I️” shows up because yeah it’s a little annoying thankssss,Hey @115858 can you fix this thing where this “I️” shows up because yeah it’s a little annoying thankssss,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL]
apple_pair_015131,554886,554883,Still having trouble with the freezing,@AppleSupport Still having trouble with the freezing,"Alright, understood. DM us and we can continue from there. [URL]"
apple_pair_085463,2319861,2319861,"y’all seriously need to get it together and not fuck over the battery life of older phones when you launch a new one. Brand new phone as of August, and now my battery is shit. Looks like it’s about time for Android to get my business.","@115858 y’all seriously need to get it together and not fuck over the battery life of older phones when you launch a new one. Brand new phone as of August, and now my battery is shit. Looks like it’s about time for Android to get my business.",Let's work on this together. Which iOS are you currently running? Check here: Settings > General > About > Version. Did you see any improvements when disabling Background App Refresh when you were working with us in the past?
apple_pair_044023,1534971,1534971,My phone is up to date and I’m still seeing question mark boxes sometimes. Fix it ! @115858 @123765,My phone is up to date and I’m still seeing question mark boxes sometimes. Fix it ! @115858 @123765,Let's look into this further in DM. Please provide your iPhone model and iOS version here: [URL]
apple_pair_071836,2036843,2036843,I HATE THE NEW UPDATE... TOO MANY GLITCHES @AppleSupport,I HATE THE NEW UPDATE... TOO MANY GLITCHES @AppleSupport,We want to know more about what you're experiencing. Meet us in DM and we'll go from there. [URL]
apple_pair_084469,2304870,2304870,My Apple Music has been messing up since the new update! Cannot think of a worse possible outcome. Not the music @115858,My Apple Music has been messing up since the new update! Cannot think of a worse possible outcome. Not the music @115858,"What's happening specifically with Apple Music? We'd love to know the details via DM to see how we can help. When you reach out, be sure to let us know what type of device you're using. [URL]"
apple_pair_017793,633904,633904,"Is it just me, or the latest #ios updates consume tons of battery after the updates 🤔🤔🤔 cc: @115858","Is it just me, or the latest #ios updates consume tons of battery after the updates 🤔🤔🤔

cc: @115858",Let's get these issues figured out. How long does your battery last from 100%? When did you update to iOS 11.1.2? Please send us a DM. [URL]
apple_pair_016195,585878,585878,"is there a reason I cannot disable YouTube in iMessage apps? If I tap the on/off button long enough, I do get some response though... except that might be another bug. iOS 11(.2) happiness!! [URL]","@AppleSupport is there a reason I cannot disable YouTube in iMessage apps? If I tap the on/off button long enough, I do get some response though... except that might be another bug. iOS 11(.2) happiness!! https://t.co/xWvunw0zXe",Send us a DM and give us an outline of the issues you're experiencing. We'll work on them one at a time. [URL]
apple_pair_094334,2567038,2567038,Update ios 11.1.1 System failure and set the screen always Please solve the problem quickly,@AppleSupport Update ios 11.1.1 System failure and set the screen always Please solve the problem quickly,We’d love to help. To start please send us a DM with more details on the behavior you’re experiencing. [URL]
apple_pair_000518,31869,31869,Battery draining in recent updates of iOS 11.1 on my iPhone 6s. Why please fix it as soon as possible,@AppleSupport Battery draining in recent updates of iOS 11.1 on my iPhone 6s. Why please fix it as soon as possible,"We've received your DM, and we'll continue working with you there. [URL]"
apple_pair_068009,1996487,1996487,please help me I’m STRESSING OUT [URL],@115858  @AppleSupport please help me I’m STRESSING OUT https://t.co/KXiBSRpqEZ,"We'll be glad to take a look with you and get this figured out. First, have you updated to iOS 11.1? Please DM us. [URL]"
apple_pair_001886,84293,84293,"How did #Apple get this so wrong, 40K for an 27inch 5K retina iMac that does this on a 100mb photoshop file. @5057 @115858 my 8 year old 17inch iMac works better. [URL]","How did #Apple get this so wrong, 40K for an 27inch 5K retina iMac that does this on a 100mb photoshop file. @5057 @115858 my 8 year old 17inch iMac works better. https://t.co/a20G7k9x0I",We'd like to look into this with you. Please DM us the macOS version installed and details of when this issue occurs. Are only certain apps in use? [URL]
apple_pair_009131,344121,344121,. @115858 how can #ios11 be so screwed up? STOP TURNING MY WIFI AND BTOOTH BACK ON AFTER IVE TURNED THEM OFF. And what happened to hotspot?,. @115858 how can #ios11 be so screwed up?  STOP TURNING MY WIFI AND BTOOTH BACK ON AFTER IVE TURNED THEM OFF. And what happened to hotspot?,Can you let us know how you are turning Bluetooth and Wi-Fi off? Here is a helpful resource for iOS 11: [URL]
apple_pair_035591,1266486,1266486,my phone has been charging for 7 hours and it just turned on with 5% battery wtf,@115858 my phone has been charging for 7 hours and it just turned on with 5% battery wtf,"Let's help. Which version of iOS? Let's try the steps here, as well: [URL]"
apple_pair_004998,210572,210572,I have been having nonstop problems with my phone ever since I updated to iOS 11. I really don’t like you @115858.,I have been having nonstop problems with my phone ever since I updated to iOS 11. I really don’t like you @115858.,"We're here for you! DM us about the issues you're experiencing, and we'll continue from there. [URL]"
apple_pair_103986,2899060,2899060,my Apple Music just crashed and every time I open the app it shows a black screen and crashes again can it be fixed?,@AppleSupport my Apple Music just crashed and every time I open the app it shows a black screen and crashes again can it be fixed?,We'd be happy to assist you. Let us know in DM the device you're using with Apple Music and the steps tried and we'll continue from there. [URL]
apple_pair_103247,2867302,2867302,I’m really hoping @115858 can help me fix my computer. This shit is the heart of everything I do. I’m damn sure glad I backed everything up.,I’m really hoping @115858 can help me fix my computer. This shit is the heart of everything I do. I’m damn sure glad I backed everything up.,We'd be happy to look into any issues you're having. Could you please send us a DM with some details so we can get started? [URL]
apple_pair_089338,2425883,2425883,"Hallo @AppleSupport, geef mij is een verklaring waarom mijn telefoon scherm het gewoon niet meer wilt doen en de batterij binnen 2 uur compleet leeg is. Ik heb de afgelopen 1,5 jaar goed behandeld en krijg nu dit. ???","Hallo @AppleSupport, geef mij is een verklaring waarom mijn telefoon scherm het gewoon niet meer wilt doen en de batterij binnen 2 uur compleet leeg is. Ik heb de afgelopen 1,5 jaar goed behandeld en krijg nu dit. ???",We offer support via Twitter in English. Contact us for help in your preferred language here: [URL]
apple_pair_047698,1615381,1615381,hey stop changing our letters. We all can't afford a $1000 phone rn & probably never will be able to.,@115858 hey stop changing our letters. We all can't afford a $1000 phone rn &amp; probably never will be able to.,Let's help. Try this out: [URL] Let us know if that helps correct that issue with autocorrect.
apple_pair_078321,2152187,2152187,every since my phone updated it keeps shutting off at 50% fix the shit,@115858 every since my phone updated it keeps shutting off at 50% fix the shit,We'd love to help. Reach us via DM to continue. [URL]
apple_pair_006857,269525,269525,How do I play music albums by year in iOS 11?,@AppleSupport How do I play music albums by year in iOS 11?,You can sort the albums by Title and by Artist within the Music app.
apple_pair_065594,1949779,1949779,My dad says he wants to upgrade his dog and bone. That scares me as I hope he’s talking cockney about his phone and not about upgrading me. Thou he could certainly upgrade the bone I get. Can you help Apple humans ?,@AppleSupport My dad says he wants to upgrade his dog and bone. That scares me as I hope he’s talking cockney about his phone and not about upgrading me. Thou he could certainly upgrade the bone I get. Can you help Apple humans ?,We can help your dad with any questions he has about upgrading his phone. We're a DM away if he needs us. [URL]
